End_Time,Artist,Track,Playlist,Miliseconds_Played,
6/15/21 2:58,Avril Lavigne,Innocence,#N/A,20677,
7/2/21 0:02,Corinne Bailey Rae,Put Your Records On,mm2,215360,
7/2/21 0:04,Billie Eilish,Therefore I Am,madeline is fucking fabulous,174321,
7/2/21 0:08,Dua Lipa,Levitating (feat. DaBaby),madeline is fucking fabulous,203064,
7/2/21 0:12,Eric Nam,"Bravo, My Life!",madeline is fucking fabulous,245349,
7/2/21 0:15,KIM JAE HWAN,Vacance in September,mm2,207653,
7/2/21 0:16,Kim Greem,Sleep,madeline is fucking fabulous,11479,
7/2/21 1:31,政学Zed-X,唯一Remix,mm2,125633,
7/2/21 2:37,政学Zed-X,唯一Remix,mm2,166209,
7/2/21 2:38,政学Zed-X,唯一Remix,mm2,54712,
7/2/21 3:32,Bill Evans,Skating In Central Park,#N/A,192609,
7/2/21 3:35,政学Zed-X,唯一Remix,mm2,182000,
7/2/21 3:38,Vinh Khuat,That Old School Love,#N/A,221200,
7/2/21 3:42,Peck Palitchoke,A little thing,#N/A,218152,
7/2/21 3:45,Theo Tams,Therapy,#N/A,176285,
7/2/21 3:45,Kelly Clarkson,Stronger (What Doesn't Kill You),#N/A,29221,
7/2/21 3:48,Surf Mesa,ily (i love you baby) (feat. Emilee),#N/A,176546,
7/2/21 3:51,Surf Mesa,Carried Away (Love To Love) (with Madison Beer),#N/A,182653,
7/2/21 3:54,Seo actor,Cold,#N/A,152459,
7/2/21 3:57,Seo actor,Eternal Sunshine,mm1,190645,
7/2/21 3:58,Smoove'L,Apollo,#N/A,33707,
7/2/21 3:59,Rihanna,What's My Name?,#N/A,92090,
7/2/21 4:02,Britney Spears,...Baby One More Time,#N/A,140271,
7/2/21 4:04,Britney Spears,Oops!...I Did It Again,#N/A,146541,
7/2/21 4:07,Britney Spears,Gimme More,#N/A,200202,
7/2/21 4:10,Britney Spears,Toxic,#N/A,143801,
7/2/21 4:13,政学Zed-X,唯一Remix,mm2,175914,
7/2/21 4:16,Theo Tams,Therapy,#N/A,176285,
7/2/21 4:20,Wale,LoveHate Thing (feat. Sam Dew),madeline is fucking fabulous,267400,
7/2/21 4:22,F.I.R.,Lydia,#N/A,124145,
7/2/21 4:27,Sub Focus,Solar System,#N/A,288000,
7/2/21 4:29,Dimension,Love To Give (with Culture Shock & Billy Lockett),#N/A,142299,
7/2/21 4:32,Kupla,Roots,#N/A,138947,
7/2/21 4:34,Psalm Trees,You Don't Know,#N/A,166363,
