Name,No,Track,Artist,Album,Track_Url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Miliseconds_Played,Genre
tracks,1,Biggest Thing,Rain,It's Raining,spotify:track:6TAkPWpT22wttANCgJaMCH,0.791,0.562,9,-4.596,1,0.0894,0.455,0,0.0641,0.665,92.023,"6,202,667",K-pop
tracks,2,Count On Me,Connie Talbot,Beautiful World,spotify:track:6vaLzesQfBZ5PMBSiMykJs,0.568,0.4,1,-7.132,1,0.0342,0.488,0,0.0822,0.687,180.01,1025608,Pop
tracks,3,SexyBack (feat. Timbaland),Justin Timberlake,FutureSex/LoveSounds,spotify:track:0O45fw2L5vsWpdsOdXwNAR,0.967,0.583,7,-5.562,0,0.0789,0.0584,0,0.0519,0.964,117,2814676,Pop
tracks,4,Split (Only U),Tiësto,Split (Only U),spotify:track:1Q4jb2UjtWUDUojHsB8mLY,0.634,0.927,1,-3.282,1,0.136,0.048,0.687,0.0864,0.35,128.016,7773886,Electronic/Dance
tracks,5,It Takes Time,Loco,It Takes Time,spotify:track:3mNbGPCLCxia3yvwWp2P51,0.728,0.503,3,-7.147,1,0.08,0.777,0.000003,0.249,0.267,120.032,27611475,K-pop
tracks,6,Fall in love with you in every 4AM.,Friday Night Plans,LOCATION - Los Angeles,spotify:track:2sXQnT404FrXeSEZkJXfKM,0.816,0.494,9,-9.827,1,0.0426,0.0621,0.000061,0.0999,0.336,116.973,143404,R&B/Soul
tracks,7,Say You Love Me,MYMP,Versions,spotify:track:4a6pgERixWg4XWU4yWqk4z,0.82,0.403,9,-8.504,0,0.0471,0.766,0,0.117,0.464,96.63,1179939,Pop
tracks,8,by oneself,J_ust,T_wo,spotify:track:5weHqDeCSuY8eaudZfp7IJ,0.445,0.206,9,-9.935,1,0.0378,0.858,0,0.123,0.435,121.456,210456,K-Indie
tracks,9,Shivers (feat. Jessi & SUNMI),Ed Sheeran,Shivers (feat. Jessi & SUNMI),spotify:track:1A3T3npKsrElQTjTEcr3LR,0.739,0.873,2,-2.595,1,0.0878,0.268,0,0.0454,0.863,141.026,12556816,Electronic/Dance
tracks,10,She makes me wonder,the engy,Say it,spotify:track:5yvo81JZBSjOxHmytmTWYm,0.731,0.583,0,-4.463,1,0.0469,0.0556,0,0.0648,0.684,87.021,3065295,Pop
tracks,11,soft start,slchld,happy campers,spotify:track:62Ihfin7cf2qMOMfogXRpl,0.61,0.496,9,-8.592,1,0.0589,0.761,0,0.116,0.139,132.062,2595577,K-Indie
tracks,12,Eternal Sunshine,Seo actor,Eternal Sunshine 1/2,spotify:track:2iEykY8EqjYrG3Gz7GdpMu,0.627,0.459,0,-6.583,1,0.0481,0.775,0,0.0744,0.728,139.881,11475017,K-pop
tracks,13,Tap In,Saweetie,Tap In,spotify:track:4Hpib09wXgD84w4uwTPnYD,0.954,0.696,10,-7.117,0,0.204,0.00576,0.000498,0.0754,0.432,100.036,229649,Hip Hop/Rap
tracks,14,醉後喜歡我,冰球樂團,我好斯文,spotify:track:0OXINTkSPTozv82CWvDbTa,0.536,0.62,1,-5.779,1,0.0473,0.284,0,0.115,0.389,160.157,3218202,M-pop
tracks,15,always,keshi,always,spotify:track:26dXOkhzMxLLNaUXt77HQc,0.629,0.495,9,-6.86,1,0.103,0.539,0.000231,0.0326,0.548,89.773,683151,K-Indie
tracks,16,Empire State Of Mind,JAY-Z,The Blueprint 3,spotify:track:2igwFfvr1OAGX9SKDCPBwO,0.491,0.956,11,-1.538,1,0.392,0.0295,0,0.46,0.811,173.585,4125233,Pop
tracks,17,Azukita,Steve Aoki,Neon Future III,spotify:track:6tSaMs79oJxK3VZ7QFgoTj,0.715,0.93,8,-3.925,1,0.108,0.00158,0.000318,0.0589,0.824,130.025,9810398,Electronic/Dance
tracks,18,I.F.L.Y.,Bazzi,Soul Searching,spotify:track:4a6q8CR2hzLk2plDkSxkfD,0.812,0.519,2,-4.823,1,0.0385,0.379,0,0.13,0.554,104.954,171797,Pop
tracks,19,HONEY (Feat. Crucial Star),Chawoo,HONEY,spotify:track:2Lt1ZRU6nFY88vw24GdYLy,0.759,0.495,5,-4.878,1,0.0356,0.59,0,0.0491,0.746,95.008,610214,K-pop
tracks,20,Officially Missing You,Tamia,More,spotify:track:4IFYR5smTnHYCLP82AiDrJ,0.476,0.407,4,-9.239,0,0.0368,0.247,0,0.144,0.226,178.258,26590225,K-pop
tracks,21,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,Crowd Lu,刻在我心底的名字 (Your Name Engraved Herein),spotify:track:3OC84eKMxRJ4x0Hcwl9i4i,0.425,0.201,10,-11.961,1,0.0373,0.873,0,0.111,0.267,136.328,2591427,M-pop
tracks,22,Officially Missing You,Geeks,Officially Missing You,spotify:track:7CkjU55ROZSwb95dzGan0o,0.661,0.714,7,-5.524,1,0.114,0.641,0,0.287,0.775,92.979,26590225,Hip Hop/Rap
